Date,Open*,High,Low,Close**,Volume,Market Cap
12-Dec-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$35,466,155 ","$403,248,567 "
11-Dec-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$41,712,942 ","$392,459,836 "
10-Dec-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$33,740,988 ","$395,706,348 "
9-Dec-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$45,746,722 ","$402,483,350 "
8-Dec-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$52,702,701 ","$405,143,760 "
7-Dec-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$36,923,814 ","$425,868,467 "
6-Dec-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$40,936,574 ","$431,691,746 "
5-Dec-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$43,386,583 ","$432,723,096 "
4-Dec-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$45,062,222 ","$420,098,206 "
3-Dec-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$47,907,032 ","$436,544,288 "
2-Dec-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$58,705,661 ","$429,717,482 "
1-Dec-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$80,163,603 ","$424,620,891 "
30-Nov-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$68,622,736 ","$452,099,967 "
29-Nov-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$46,319,972 ","$438,924,852 "
28-Nov-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$58,033,650 ","$433,416,826 "
27-Nov-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$92,323,023 ","$416,865,856 "
26-Nov-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$175,520,294 ","$413,589,433 "
25-Nov-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$174,459,927 ","$474,231,349 "
24-Nov-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$266,716,036 ","$534,864,218 "
23-Nov-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$101,561,039 ","$464,109,149 "
22-Nov-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$121,660,410 ","$423,521,332 "
21-Nov-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$162,641,694 ","$446,026,143 "
20-Nov-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$57,656,465 ","$379,556,538 "
19-Nov-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$40,330,643 ","$370,193,342 "
18-Nov-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$49,460,064 ","$369,897,280 "
17-Nov-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$46,631,464 ","$373,272,247 "
16-Nov-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$52,063,283 ","$366,863,172 "
15-Nov-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$25,131,683 ","$352,792,281 "
14-Nov-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$30,334,380 ","$352,447,343 "
13-Nov-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$29,217,750 ","$358,567,478 "
12-Nov-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$24,028,261 ","$353,134,919 "
11-Nov-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$33,138,759 ","$351,821,931 "
10-Nov-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$39,633,173 ","$349,808,435 "
9-Nov-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$28,124,348 ","$339,114,621 "
8-Nov-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$22,754,531 ","$344,300,015 "
7-Nov-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$44,610,219 ","$339,187,040 "
6-Nov-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$54,267,546 ","$350,479,044 "
5-Nov-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$31,611,963 ","$332,278,228 "
4-Nov-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$52,552,651 ","$321,632,249 "
3-Nov-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$62,871,653 ","$320,878,482 "
2-Nov-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$50,142,376 ","$319,510,588 "
1-Nov-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$45,528,682 ","$327,678,835 "
31-Oct-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$56,189,318 ","$326,906,027 "
30-Oct-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$63,444,097 ","$329,715,649 "
29-Oct-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$58,929,515 ","$327,434,298 "
28-Oct-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$72,848,720 ","$329,216,495 "
27-Oct-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$78,927,089 ","$339,540,412 "
26-Oct-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$122,152,251 ","$339,741,433 "
25-Oct-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$58,532,388 ","$336,485,100 "
24-Oct-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$44,797,614 ","$335,479,644 "
23-Oct-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$46,856,082 ","$335,619,978 "
22-Oct-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$44,976,453 ","$336,576,292 "
21-Oct-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$45,017,115 ","$333,445,208 "
20-Oct-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$65,577,101 ","$329,683,335 "
19-Oct-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$91,049,562 ","$328,231,586 "
18-Oct-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$72,298,803 ","$327,781,395 "
17-Oct-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$125,692,391 ","$327,064,296 "
16-Oct-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$117,882,236 ","$330,951,793 "
15-Oct-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$83,794,207 ","$328,454,705 "
14-Oct-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$87,293,434 ","$334,052,394 "
13-Oct-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$76,963,142 ","$333,761,625 "
12-Oct-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$101,246,789 ","$338,543,787 "
11-Oct-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$107,632,465 ","$338,568,241 "
10-Oct-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$96,632,426 ","$336,111,690 "
9-Oct-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$100,051,523 ","$335,821,980 "
8-Oct-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$109,356,096 ","$328,573,195 "
7-Oct-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$125,523,508 ","$328,490,146 "
6-Oct-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$105,669,881 ","$330,516,077 "
5-Oct-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$127,881,032 ","$330,595,649 "
4-Oct-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$92,364,518 ","$333,407,496 "
3-Oct-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$116,046,378 ","$328,808,013 "
2-Oct-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$128,239,855 ","$326,820,338 "
